air_store_id,visit_datetime,reserve_datetime,reserve_visitors
air_a083834e7ffe187e,2016-01-03 19:00:00,2016-01-03 16:00:00,2
air_a083834e7ffe187e,2016-01-03 21:00:00,2016-01-02 20:00:00,2
air_a083834e7ffe187e,2016-01-04 21:00:00,2016-01-04 15:00:00,2
air_a083834e7ffe187e,2016-01-05 19:00:00,2016-01-02 00:00:00,8
air_a083834e7ffe187e,2016-01-07 18:00:00,2016-01-07 14:00:00,2
air_a083834e7ffe187e,2016-01-08 19:00:00,2016-01-06 18:00:00,8
air_a083834e7ffe187e,2016-01-08 19:00:00,2016-01-07 22:00:00,20
air_a083834e7ffe187e,2016-01-08 19:00:00,2016-01-05 23:00:00,3
air_a083834e7ffe187e,2016-01-08 19:00:00,2016-01-08 16:00:00,3
air_a083834e7ffe187e,2016-01-08 22:00:00,2016-01-06 21:00:00,2
air_a083834e7ffe187e,2016-01-09 20:00:00,2016-01-05 22:00:00,2
air_a083834e7ffe187e,2016-01-09 20:00:00,2016-01-07 14:00:00,2
air_a083834e7ffe187e,2016-01-09 20:00:00,2016-01-02 10:00:00,4
air_a083834e7ffe187e,2016-01-09 20:00:00,2016-01-06 23:00:00,5
air_a083834e7ffe187e,2016-01-09 20:00:00,2016-01-09 04:00:00,2
air_a083834e7ffe187e,2016-01-09 20:00:00,2016-01-09 02:00:00,7
air_a083834e7ffe187e,2016-01-09 20:00:00,2016-01-04 23:00:00,2
air_a083834e7ffe187e,2016-01-09 20:00:00,2016-01-08 20:00:00,2
air_a083834e7ffe187e,2016-01-10 19:00:00,2016-01-07 18:00:00,2
air_a083834e7ffe187e,2016-01-10 19:00:00,2016-01-10 15:00:00,4
air_a083834e7ffe187e,2016-01-10 19:00:00,2016-01-06 23:00:00,3
air_a083834e7ffe187e,2016-01-10 19:00:00,2016-01-10 14:00:00,4
air_a083834e7ffe187e,2016-01-10 19:00:00,2016-01-09 09:00:00,6
air_a083834e7ffe187e,2016-01-10 19:00:00,2016-01-08 17:00:00,2
air_a083834e7ffe187e,2016-01-10 19:00:00,2016-01-07 21:00:00,4
air_a083834e7ffe187e,2016-01-10 19:00:00,2016-01-10 15:00:00,3
air_a083834e7ffe187e,2016-01-12 22:00:00,2016-01-12 15:00:00,2
air_a083834e7ffe187e,2016-01-13 22:00:00,2016-01-13 18:00:00,5
air_a083834e7ffe187e,2016-01-13 22:00:00,2016-01-13 15:00:00,5
air_a083834e7ffe187e,2016-01-15 21:00:00,2016-01-14 16:00:00,7
air_a083834e7ffe187e,2016-01-16 19:00:00,2016-01-14 19:00:00,3
air_a083834e7ffe187e,2016-01-16 19:00:00,2016-01-16 16:00:00,4
air_a083834e7ffe187e,2016-01-16 19:00:00,2016-01-16 17:00:00,2
air_a083834e7ffe187e,2016-01-16 19:00:00,2016-01-16 17:00:00,3
air_a083834e7ffe187e,2016-01-16 19:00:00,2016-01-13 13:00:00,7
air_a083834e7ffe187e,2016-01-16 19:00:00,2016-01-13 15:00:00,4
air_a083834e7ffe187e,2016-01-16 19:00:00,2016-01-14 17:00:00,4
air_a083834e7ffe187e,2016-01-16 19:00:00,2016-01-07 16:00:00,7
air_a083834e7ffe187e,2016-01-17 20:00:00,2016-01-12 13:00:00,23
air_a083834e7ffe187e,2016-01-17 20:00:00,2016-01-16 22:00:00,3
air_a083834e7ffe187e,2016-01-19 20:00:00,2016-01-17 17:00:00,10
air_a083834e7ffe187e,2016-01-19 21:00:00,2016-01-18 23:00:00,2
air_a083834e7ffe187e,2016-01-19 22:00:00,2016-01-17 19:00:00,5
air_a083834e7ffe187e,2016-01-20 19:00:00,2016-01-17 21:00:00,3
air_a083834e7ffe187e,2016-01-20 19:00:00,2016-01-18 00:00:00,2
air_a083834e7ffe187e,2016-01-21 18:00:00,2016-01-18 22:00:00,5
air_a083834e7ffe187e,2016-01-21 18:00:00,2016-01-15 18:00:00,8
air_a083834e7ffe187e,2016-01-22 21:00:00,2016-01-14 20:00:00,6
air_a083834e7ffe187e,2016-01-22 21:00:00,2016-01-14 19:00:00,8
air_a083834e7ffe187e,2016-01-22 21:00:00,2016-01-21 19:00:00,2
air_a083834e7ffe187e,2016-01-22 21:00:00,2016-01-20 20:00:00,5
air_a083834e7ffe187e,2016-01-22 21:00:00,2016-01-15 14:00:00,3
air_a083834e7ffe187e,2016-01-22 21:00:00,2016-01-20 18:00:00,7
air_a083834e7ffe187e,2016-01-23 19:00:00,2016-01-19 13:00:00,3
air_a083834e7ffe187e,2016-01-23 19:00:00,2016-01-21 20:00:00,5
air_a083834e7ffe187e,2016-01-23 19:00:00,2016-01-21 21:00:00,2
air_a083834e7ffe187e,2016-01-23 19:00:00,2016-01-05 19:00:00,3
air_a083834e7ffe187e,2016-01-23 19:00:00,2016-01-18 09:00:00,3
air_a083834e7ffe187e,2016-01-23 19:00:00,2016-01-20 22:00:00,2
air_a083834e7ffe187e,2016-01-23 19:00:00,2016-01-10 18:00:00,3
air_a083834e7ffe187e,2016-01-23 19:00:00,2016-01-15 18:00:00,9
air_a083834e7ffe187e,2016-01-24 18:00:00,2016-01-23 16:00:00,2
air_a083834e7ffe187e,2016-01-24 19:00:00,2016-01-21 00:00:00,6
air_a083834e7ffe187e,2016-01-25 20:00:00,2016-01-24 11:00:00,4
air_a083834e7ffe187e,2016-01-26 20:00:00,2016-01-20 20:00:00,8
air_a083834e7ffe187e,2016-01-26 21:00:00,2016-01-23 21:00:00,2
air_a083834e7ffe187e,2016-01-27 19:00:00,2016-01-22 18:00:00,7
air_a083834e7ffe187e,2016-01-27 19:00:00,2016-01-27 04:00:00,2
air_a083834e7ffe187e,2016-01-27 19:00:00,2016-01-19 18:00:00,15
air_a083834e7ffe187e,2016-01-27 19:00:00,2016-01-25 22:00:00,2
air_a083834e7ffe187e,2016-01-27 21:00:00,2016-01-23 16:00:00,5
air_a083834e7ffe187e,2016-01-28 20:00:00,2016-01-25 22:00:00,5
air_a083834e7ffe187e,2016-01-28 20:00:00,2016-01-28 16:00:00,4
air_a083834e7ffe187e,2016-01-28 21:00:00,2016-01-27 22:00:00,3
air_a083834e7ffe187e,2016-01-28 21:00:00,2016-01-27 17:00:00,6
air_a083834e7ffe187e,2016-01-29 18:00:00,2016-01-26 01:00:00,10
air_a083834e7ffe187e,2016-01-29 18:00:00,2016-01-08 16:00:00,5
air_a083834e7ffe187e,2016-01-29 19:00:00,2016-01-24 16:00:00,7
air_a083834e7ffe187e,2016-01-29 19:00:00,2016-01-26 17:00:00,3
air_5c817ef28f236bdf,2016-01-29 20:00:00,2016-01-28 17:00:00,4
air_a083834e7ffe187e,2016-01-29 21:00:00,2016-01-28 17:00:00,6
air_a083834e7ffe187e,2016-01-29 21:00:00,2016-01-28 20:00:00,2
air_a083834e7ffe187e,2016-01-29 21:00:00,2016-01-22 11:00:00,2
