air_store_id,visit_date,visitors
air_5c817ef28f236bdf,2016-01-02,24
air_5c817ef28f236bdf,2016-01-03,49
air_5c817ef28f236bdf,2016-01-04,10
air_5c817ef28f236bdf,2016-01-05,2
air_5c817ef28f236bdf,2016-01-06,9
air_5c817ef28f236bdf,2016-01-07,15
air_5c817ef28f236bdf,2016-01-08,36
air_5c817ef28f236bdf,2016-01-09,44
air_5c817ef28f236bdf,2016-01-10,25
air_5c817ef28f236bdf,2016-01-11,7
air_5c817ef28f236bdf,2016-01-12,6
air_5c817ef28f236bdf,2016-01-13,1
air_5c817ef28f236bdf,2016-01-14,7
air_5c817ef28f236bdf,2016-01-15,32
air_5c817ef28f236bdf,2016-01-16,49
air_5c817ef28f236bdf,2016-01-17,26
air_5c817ef28f236bdf,2016-01-18,6
air_5c817ef28f236bdf,2016-01-19,12
air_5c817ef28f236bdf,2016-01-20,24
air_5c817ef28f236bdf,2016-01-21,37
air_5c817ef28f236bdf,2016-01-22,47
air_5c817ef28f236bdf,2016-01-23,42
air_5c817ef28f236bdf,2016-01-24,30
air_5c817ef28f236bdf,2016-01-25,7
air_5c817ef28f236bdf,2016-01-26,9
air_5c817ef28f236bdf,2016-01-27,5
air_5c817ef28f236bdf,2016-01-28,16
air_5c817ef28f236bdf,2016-01-29,50
air_5c817ef28f236bdf,2016-01-30,46
air_5c817ef28f236bdf,2016-01-31,50
air_5c817ef28f236bdf,2016-02-01,4
air_5c817ef28f236bdf,2016-02-02,22
air_5c817ef28f236bdf,2016-02-03,16
air_5c817ef28f236bdf,2016-02-04,30
air_5c817ef28f236bdf,2016-02-05,35
air_5c817ef28f236bdf,2016-02-06,64
air_5c817ef28f236bdf,2016-02-07,26
air_5c817ef28f236bdf,2016-02-08,19
air_5c817ef28f236bdf,2016-02-09,28
air_5c817ef28f236bdf,2016-02-10,35
air_5c817ef28f236bdf,2016-02-11,34
air_5c817ef28f236bdf,2016-02-12,23
air_5c817ef28f236bdf,2016-02-13,75
