feature,importance
day_of_week_num,0.17704351674200244
visitors_lag_7,0.14654092942421895
visitors_lag_28,0.09281600286651523
is_weekend,0.09176715989875478
visitors_lag_14,0.08922088650418968
visitors_lag_1,0.041845245966510694
visitors_rolling_7_mean,0.03981647024337643
visitors_rolling_28_mean,0.03943047358832546
visitors_rolling_14_mean,0.03868229101497804
reserved_visitors_sum,0.03561373397071191
day,0.02857222886558863
week_of_year,0.02651664514854129
holiday_flg,0.022900243392079817
month,0.017445244484704407
latitude,0.013897100719141811
reservation_count,0.012992762811440602
longitude,0.012828051275542847
reserved_visitors_mean,0.011399699463362212
air_store_id_air_a083834e7ffe187e,0.01108377834601328
air_area_name_Miyagi-ken Sendai-shi Kamisugi,0.010781852555811424
air_store_id_air_5c817ef28f236bdf,0.007927742330382868
avg_reserve_lead_days,0.007508418183513871
air_area_name_Tōkyō-to Shibuya-ku Shibuya,0.0058062230757005085
air_area_name_Tōkyō-to Chiyoda-ku Kudanminami,0.0033706241918097773
air_store_id_air_36bcf77d3382d36e,0.003126013928222597
year,0.0030426690210125975
air_genre_name_Izakaya,0.002886714812367246
air_genre_name_Bar/Cocktail,0.002695070889259674
has_reservation_data,0.0024422062859208982
