air_store_id,visit_date,visitors,day_of_week,holiday_flg,month,day,year,week_of_year,day_of_week_num,is_weekend,air_genre_name,air_area_name,latitude,longitude,reserved_visitors_sum,reservation_count,reserved_visitors_mean,avg_reserve_lead_days,has_reservation_data,visitors_lag_1,visitors_lag_7,visitors_lag_14,visitors_lag_28,visitors_rolling_7_mean,visitors_rolling_14_mean,visitors_rolling_28_mean
air_36bcf77d3382d36e,2016-01-30,45,Saturday,0,1,30,2016,4,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,31.0,51.0,50.0,34.0,30.714285714285715,28.357142857142858,28.928571428571427
air_36bcf77d3382d36e,2016-01-31,56,Sunday,0,1,31,2016,4,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,45.0,47.0,49.0,43.0,29.857142857142858,28.0,29.321428571428573
air_36bcf77d3382d36e,2016-02-01,17,Monday,0,2,1,2016,5,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,56.0,30.0,11.0,30.0,31.142857142857142,28.5,29.785714285714285
air_36bcf77d3382d36e,2016-02-02,9,Tuesday,0,2,2,2016,5,1,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,17.0,14.0,20.0,38.0,29.285714285714285,28.928571428571427,29.321428571428573
air_36bcf77d3382d36e,2016-02-03,16,Wednesday,0,2,3,2016,5,2,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,9.0,20.0,17.0,22.0,28.571428571428573,28.142857142857142,28.285714285714285
air_36bcf77d3382d36e,2016-02-04,15,Thursday,0,2,4,2016,5,3,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,16.0,22.0,13.0,18.0,28.0,28.071428571428573,28.071428571428573
air_36bcf77d3382d36e,2016-02-05,17,Friday,0,2,5,2016,5,4,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,15.0,31.0,22.0,18.0,27.0,28.214285714285715,27.964285714285715
air_36bcf77d3382d36e,2016-02-06,42,Saturday,0,2,6,2016,5,5,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,17.0,45.0,51.0,47.0,25.0,27.857142857142858,27.928571428571427
air_36bcf77d3382d36e,2016-02-07,42,Sunday,0,2,7,2016,5,6,1,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,42.0,56.0,47.0,47.0,24.571428571428573,27.214285714285715,27.75
air_36bcf77d3382d36e,2016-02-08,21,Monday,0,2,8,2016,6,0,0,Bar/Cocktail,Tōkyō-to Chiyoda-ku Kudanminami,35.6940027,139.7535951,0.0,0.0,0.0,0.0,0,42.0,17.0,30.0,43.0,22.571428571428573,26.857142857142858,27.571428571428573
